ID;name;DOI;reference;mask;a_start;critical_Sobolev_exponent;critical_Hoelder_exponent;exactness_of_polynomial_approximation;ID_of_dual_function;orthogonal_translations;spline_order;comment;symmetry;type
1;(1)-BSpline;10.1002/cpa.3160450502;Biorthogonal bases of compactly supported wavelets;[1,1];0;0.5;0;1;[2,3,4,5];1;1;;even;CDF
2;(1,1)-CDF;10.1002/cpa.3160450502;Biorthogonal bases of compactly supported wavelets;[1,1];0;1;0;1;1;1;-1;;even;CDF
3;(1,3)-CDF;10.1002/cpa.3160450502;Biorthogonal bases of compactly supported wavelets;[-0.125,0.125,1,1,0.125,-0.125];-2;1.6584;0;3;1;1;-1;;even;CDF
4;(1,5)-CDF;10.1002/cpa.3160450502;Biorthogonal bases of compactly supported wavelets;[0.0234375,-0.0234375,-0.171875,0.171875,1,1,0.171875,-0.171875,-0.0234375,0.0234375];-4;2.2777;0;5;1;1;-1;;even;CDF
5;(1,7)-CDF;10.1002/cpa.3160450502;Biorthogonal bases of compactly supported wavelets;[-0.0048828125,0.0048828125,0.04296875,-0.04296875,-0.1962890625,0.1962890625,1,1,0.1962890625,-0.1962890625,-0.04296875,0.04296875,0.0048828125,-0.0048828125];-6;-1;-1;7;1;1;-1;;even;CDF
6;(2)-BSpline;10.1002/cpa.3160450502;Biorthogonal bases of compactly supported wavelets;[0.5,1,0.5];-1;1;1;2;[7,8,9,10];1;2;;even;CDF
7;(2,2)-CDF;10.1002/cpa.3160450502;Biorthogonal bases of compactly supported wavelets;[-0.25,0.5,1.5,0.5,-0.25];-2;0.6584;0;2;6;1;-1;;even;CDF
8;(2,4)-CDF;10.1002/cpa.3160450502;Biorthogonal bases of compactly supported wavelets;[0.046875,-0.09375,-0.25,0.59375,1.40625,0.59375,-0.25,-0.09375,0.046875];-4;1.2777;0;4;6;1;-1;;even;CDF
9;(2,6)-CDF;10.1002/cpa.3160450502;Biorthogonal bases of compactly supported wavelets;[-0.009765625,0.01953125,0.06640625,-0.15234375,-0.240234375,0.6328125,1.3671875,0.6328125,-0.240234375,-0.15234375,0.06640625,0.01953125,-0.009765625];-6;1.7542;0;6;6;1;-1;;even;CDF
10;(2,8)-CDF;10.1002/cpa.3160450502;Biorthogonal bases of compactly supported wavelets;[0.00213623046875,-0.0042724609375,-0.018310546875,0.0408935546875,0.074951171875,-0.1907958984375,-0.231689453125,0.6541748046875,1.3458251953125,0.6541748046875,-0.231689453125,-0.1907958984375,0.074951171875,0.0408935546875,-0.018310546875,-0.0042724609375,0.00213623046875];-8;2.255;0;8;6;1;-1;;even;CDF
