ID;name;DOI;reference;mask;a_start;critical_Sobolev_exponent;critical_Hoelder_exponent;exactness_of_polynomial_approximation;orthogonal_translations;comment;symmetry;type
1;Haar;10.1007/BF01456326;Zur Theorie der orthogonalen Funktionensysteme ;[1,1];0;0.5;0;1;1;;none;Haar
2;(1)-Daubechies;10.1002/cpa.3160410705;Orthonormal bases of compactly supported wavelets;[1,1];0;0.5;0;1;1;;none;Daubechies
3;(2)-Daubechies;10.1002/cpa.3160410705;Orthonormal bases of compactly supported wavelets;[0.6830127018922193,1.1830127018922192,0.3169872981077807,-0.1830127018922193];0;1;0.55;2;1;;none;Daubechies
4;(3)-Daubechies;10.1002/cpa.3160410705;Orthonormal bases of compactly supported wavelets;[0.47046720778416373,1.1411169158314438,0.6503650005262325,-0.1909344155683274,-0.1208322083103962,0.049817499736883764];0;1.415;1.0878;3;1;;none;Daubechies
5;(4)-Daubechies;10.1002/cpa.3160410705;Orthonormal bases of compactly supported wavelets;[0.3097300362937998,0.9474298955275142,0.8149441693219852,-0.03568628890724668,-0.184140208581547,0.10402113017577347,0.05946600296576195,-0.015764736796041064];0;1.7755;1.6179;4;1;;none;Daubechies
6;Coiflet1(N=1,2M=2);10.2478/s11533-008-0011-2;On the exact values of coefficients of coiflets;[1, 1];0;0.5;0;1;1;;none;Coiflet
7;Coiflet2(N=1,2M=4);10.2478/s11533-008-0011-2;On the exact values of coefficients of coiflets;[0.3169872981077807, 1.1830127018922192, 0.6830127018922193, -0.1830127018922193];-1;0.604;0;0;1;;none;Coiflet
8;Coiflet3(N=1,2M=4);10.2478/s11533-008-0011-2;On the exact values of coefficients of coiflets;[1.1830127018922192, 0.3169872981077807, -0.1830127018922193, 0.6830127018922193];-1;0.05;0;0;1;;none;Coiflet
9;Coiflet4(N=2,2M=6);10.2478/s11533-008-0011-2;On the exact values of coefficients of coiflets;[0.8045614591379635, 0.5704385408620365, -0.10912291827592713, 0.8591229182759271, 0.30456145913796356, -0.42956145913796356];-1;0.041;0;0;1;;none;Coiflet
10;Coiflet5(N=2,2M=6);10.2478/s11533-008-0011-2;On the exact values of coefficients of coiflets;[0.32043854086203644, 1.0545614591379635, 0.8591229182759271, -0.10912291827592713, -0.17956145913796356, 0.054561459137963564];-1;1.232;0;0;1;;none;Coiflet
11;Coiflet6(N=2,2M=6);10.2478/s11533-008-0011-2;On the exact values of coefficients of coiflets;[0.22785945694153692, 0.14714054305846308, 0.5442810861169262, 1.2057189138830737, 0.22785945694153692, -0.3528594569415369];-2;0.59;0;0;1;;none;Coiflet
12;Coiflet7(N=2,2M=6);10.2478/s11533-008-0011-2;On the exact values of coefficients of coiflets;[-0.10285945694153692, 0.4778594569415369, 1.2057189138830737, 0.5442810861169262, -0.10285945694153692, -0.02214054305846308];-2;1.022;0;0;1;most symatrical;none;Coiflet
13;Coiflet8(N=3,2M=8);10.2478/s11533-008-0011-2;On the exact values of coefficients of coiflets;[0.608167896123903, 0.828929735917398, 0.05049631162829127, 0.5132107922478059, 0.5745036883717087, -0.5132107922478059, -0.2331678961239029, 0.17107026408260195];-1;0.147;0;0;1;;none;Coiflet
14;Coiflet9(N=3,2M=8);10.2478/s11533-008-0011-2;On the exact values of coefficients of coiflets;[0.32933210387609707, 1.0148202640826018, 0.8870036883717087, -0.04446079224780586, -0.26200368837170873, 0.04446079224780586, 0.0456678961239029, -0.014820264082601939];-1;1.775;0;0;1;;none;Coiflet
15;Coiflet10(N=3,2M=8);10.2478/s11533-008-0011-2;On the exact values of coefficients of coiflets;[-0.03877058180306289, 0.3709477909015314, 1.1163117454091886, 0.7621566272954057, -0.11631174540918868, -0.13715662729540568, 0.03877058180306289, 0.004052209098468554];-2;1.422;0;0;1;;none;Coiflet
16;Coiflet11(N=3,2M=8);10.2478/s11533-008-0011-2;On the exact values of coefficients of coiflets;[0.1700205818030629, 0.26655220909846855, 0.4899382545908113, 1.0753433727045942, 0.5100617454091887, -0.45034337270459435, -0.1700205818030629, 0.10844779090153145];-2;0.936;0;0;1;;none;Coiflet
17;Coiflet12(N=3,2M=8);10.2478/s11533-008-0011-2;On the exact values of coefficients of coiflets;[-0.02116013576461577, -0.046875, 0.4384804072938473, 1.140625, 0.6865195927061527, -0.140625, -0.10383986423538423, 0.046875];-3;1.464;0;0;1;;none;Coiflet
18;Coiflet13(N=3,2M=8);10.2478/s11533-008-0011-2;On the exact values of coefficients of coiflets;[-0.10383986423538423, -0.046875, 0.6865195927061527, 1.140625, 0.4384804072938473, -0.140625, -0.02116013576461577, 0.046875];-3;1.773;0;0;1;;none;Coiflet
19;Coiflet14(N=4,2M=12);10.2478/s11533-008-0011-2;On the exact values of coefficients of coiflets;[-0.0029461469113901476, -0.009475872156728578, 0.0013235640992555475, 0.02172403124133812, 0.3366672127168794, 1.0078625966019332, 0.8865184463677301, -0.059173255686542844, -0.27360205272616983, 0.05524195738557619, 0.05203897645369492, -0.016179457385576194];-5;1.773;0;0;1;;none;Coiflet
20;Coiflet15(N=4,2M=12);10.2478/s11533-008-0011-2;On the exact values of coefficients of coiflets;[0.05203897645369492, -0.009475872156728578, -0.27360205272616983, 0.02172403124133812, 0.8865184463677301, 1.0078625966019332, 0.3366672127168794, -0.059173255686542844, 0.0013235640992555475, 0.05524195738557619,-0.0029461469113901476, -0.016179457385576194];-5;2.174;0;0;1;;none;Coiflet
21;Symmlet1;;;[1, 1];0;0;0;0;1;;nearly;Symmlet
22;Symmlet2;;;[0.683012701892440, 1.183012701891740, 0.316987298107560, -0.183012701891740];0;0;0;0;1;;nearly;Symmlet
23;Symmlet3;;;[0.470467207785400, 1.141116915834620, 0.650365000527420, -0.190934415568520, -0.120832208310700, 0.049817499731780];0;0;0;0;1;;nearly;Symmlet
24;Symmlet4;;;[0.045570345896000, -0.017824701441700, -0.140317624179000, 0.421234534204000, 1.136658243410000, 0.703739068656000, -0.041910965125100, -0.107148901418000];0;0;0;0;1;;nearly;Symmlet
25;Symmlet5;;;[0.027632152957860, -0.029842499868760, -0.247951362613500, 0.023478923136140, 0.896581648381840, 1.023052966892100, 0.281990696854580, -0.055344186116720, 0.041746864421580, 0.038654795954880];0;0;0;0;1;;nearly;Symmlet
26;Symmlet6;;;[-0.011031867509380, 0.002499922092780, 0.063250562659880, -0.029783751298440, -0.102724969861800, 0.477904371332100, 1.113892783927920, 0.694457972956700, -0.068323121586480, -0.166863215411680, 0.004936612371840, 0.021784700326560];0;0;0;0;1;;nearly;Symmlet
27;Symmlet7;;;[0.014521394762020, 0.005671342685760, -0.152463871896280, -0.198056706807360, 0.408183939725740, 1.085782709811980, 0.758162601965380, 0.024665659488640, -0.070078291222120, 0.096014767935680, 0.043155452582080, -0.017870431651140, -0.001481225914600, 0.003792658534200];0;0;0;0;1;;nearly;Symmlet
28;Symmlet8;;;[0.002672793392800, -0.000428394300240, -0.021145686528360, 0.005386388753760, 0.069490465911180, -0.038493521263340, -0.073462508760760, 0.515398670373080, 1.099106630538020, 0.680745347188780, -0.086653615405640, -0.202648655285640, 0.010758611750480, 0.044823623043620, -0.000766690896220, -0.004783458511500];0;0;0;0;1;;nearly;Symmlet
